INSTANCE NAME	Solomon_C109-025
PLANNING HORIZON	1236.0
VEHICLE CAPACITY	200.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	45.0	68.0
2	2	45.0	70.0
3	3	42.0	66.0
4	4	42.0	68.0
5	5	42.0	65.0
6	6	40.0	69.0
7	7	40.0	66.0
8	8	38.0	68.0
9	9	38.0	70.0
10	10	35.0	66.0
11	11	35.0	69.0
12	12	25.0	85.0
13	13	22.0	75.0
14	14	22.0	85.0
15	15	20.0	80.0
16	16	20.0	85.0
17	17	18.0	75.0
18	18	15.0	75.0
19	19	15.0	80.0
20	20	30.0	50.0
21	21	30.0	52.0
22	22	28.0	52.0
23	23	28.0	55.0
24	24	25.0	50.0
25	25	25.0	52.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	10.0	90.0	760.0	1120.0
2	2	2	1	30.0	90.0	668.0	1028.0
3	3	3	1	10.0	90.0	16.0	376.0
4	4	4	1	10.0	90.0	575.0	935.0
5	5	5	1	10.0	90.0	15.0	375.0
6	6	6	1	20.0	90.0	482.0	842.0
7	7	7	1	20.0	90.0	18.0	378.0
8	8	8	1	20.0	90.0	110.0	470.0
9	9	9	1	10.0	90.0	390.0	750.0
10	10	10	1	10.0	90.0	204.0	564.0
11	11	11	1	10.0	90.0	297.0	657.0
12	12	12	1	20.0	90.0	507.0	867.0
13	13	13	1	30.0	90.0	30.0	390.0
14	14	14	1	10.0	90.0	414.0	774.0
15	15	15	1	40.0	90.0	227.0	587.0
16	16	16	1	40.0	90.0	322.0	682.0
17	17	17	1	20.0	90.0	33.0	393.0
18	18	18	1	20.0	90.0	37.0	397.0
19	19	19	1	10.0	90.0	132.0	492.0
20	20	20	1	10.0	90.0	10.0	370.0
21	21	21	1	20.0	90.0	760.0	1120.0
22	22	22	1	20.0	90.0	668.0	1028.0
23	23	23	1	10.0	90.0	575.0	935.0
24	24	24	1	10.0	90.0	15.0	375.0
25	25	25	1	40.0	90.0	17.0	377.0
28	103	3	1	10.0	90.0	16.0	376.0
31	106	6	1	20.0	90.0	482.0	842.0
41	116	16	1	40.0	90.0	322.0	682.0
45	120	20	1	10.0	90.0	10.0	370.0
46	121	21	1	20.0	90.0	760.0	1120.0
49	124	24	1	10.0	90.0	15.0	375.0
51	9999	0	1	0.0	0.0	0.0	1236.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	16	41	1	0	67	-
1	2	45	20	1	0	67	-
2	3	28	3	1	0	67	-
3	4	31	6	1	0	67	-
4	5	46	21	1	0	67	-
5	6	24	49	1	0	67	-
