INSTANCE NAME	Solomon_C206-025
PLANNING HORIZON	3390.0
VEHICLE CAPACITY	700.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	52.0	75.0
2	2	45.0	70.0
3	3	62.0	69.0
4	4	60.0	66.0
5	5	42.0	65.0
6	6	16.0	42.0
7	7	58.0	70.0
8	8	34.0	60.0
9	9	28.0	70.0
10	10	35.0	66.0
11	11	35.0	69.0
12	12	25.0	85.0
13	13	22.0	75.0
14	14	22.0	85.0
15	15	20.0	80.0
16	16	20.0	85.0
17	17	18.0	75.0
18	18	15.0	75.0
19	19	15.0	80.0
20	20	30.0	50.0
21	21	30.0	56.0
22	22	28.0	52.0
23	23	14.0	66.0
24	24	25.0	50.0
25	25	22.0	66.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	10.0	90.0	213.0	568.0
2	2	2	1	30.0	90.0	22.0	563.0
3	3	3	1	10.0	90.0	1030.0	1463.0
4	4	4	1	10.0	90.0	1154.0	1527.0
5	5	5	1	10.0	90.0	15.0	402.0
6	6	6	1	20.0	90.0	331.0	822.0
7	7	7	1	20.0	90.0	965.0	1340.0
8	8	8	1	20.0	90.0	2653.0	3280.0
9	9	9	1	10.0	90.0	2385.0	2976.0
10	10	10	1	10.0	90.0	2628.0	3113.0
11	11	11	1	10.0	90.0	2603.0	2952.0
12	12	12	1	20.0	90.0	1985.0	2412.0
13	13	13	1	30.0	90.0	2310.0	2659.0
14	14	14	1	10.0	90.0	1846.0	2365.0
15	15	15	1	40.0	90.0	2077.0	2514.0
16	16	16	1	40.0	90.0	1763.0	2264.0
17	17	17	1	20.0	90.0	2143.0	2638.0
18	18	18	1	20.0	90.0	1560.0	2083.0
19	19	19	1	10.0	90.0	1689.0	2144.0
20	20	20	1	10.0	90.0	10.0	645.0
21	21	21	1	20.0	90.0	2675.0	3288.0
22	22	22	1	20.0	90.0	12.0	505.0
23	23	23	1	10.0	90.0	1519.0	1926.0
24	24	24	1	10.0	90.0	23.0	368.0
25	25	25	1	40.0	90.0	2380.0	2787.0
29	104	4	1	10.0	90.0	1154.0	1527.0
34	109	9	1	10.0	90.0	2385.0	2976.0
37	112	12	1	20.0	90.0	1985.0	2412.0
45	120	20	1	10.0	90.0	10.0	645.0
48	123	23	1	10.0	90.0	1519.0	1926.0
49	124	24	1	10.0	90.0	23.0	368.0
51	9999	0	1	0.0	0.0	0.0	3390.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	37	12	1	0	0	-
1	2	45	20	1	0	0	-
2	3	4	29	1	0	0	-
3	4	23	48	1	0	0	-
4	5	24	49	1	0	0	-
5	6	9	34	1	0	0	-
