INSTANCE NAME	Solomon_R210-025
PLANNING HORIZON	1000.0
VEHICLE CAPACITY	1000.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	35.0	35.0
1	1	41.0	49.0
2	2	35.0	17.0
3	3	55.0	45.0
4	4	55.0	20.0
5	5	15.0	30.0
6	6	25.0	30.0
7	7	20.0	50.0
8	8	10.0	43.0
9	9	55.0	60.0
10	10	30.0	60.0
11	11	20.0	65.0
12	12	50.0	35.0
13	13	30.0	25.0
14	14	15.0	10.0
15	15	30.0	5.0
16	16	10.0	20.0
17	17	5.0	30.0
18	18	20.0	40.0
19	19	15.0	60.0
20	20	45.0	65.0
21	21	45.0	20.0
22	22	45.0	10.0
23	23	55.0	5.0
24	24	65.0	35.0
25	25	65.0	20.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	10.0	10.0	190.0	974.0
2	2	2	1	7.0	10.0	18.0	792.0
3	3	3	1	13.0	10.0	289.0	822.0
4	4	4	1	19.0	10.0	679.0	800.0
5	5	5	1	26.0	10.0	20.0	906.0
6	6	6	1	3.0	10.0	355.0	574.0
7	7	7	1	5.0	10.0	72.0	669.0
8	8	8	1	9.0	10.0	393.0	492.0
9	9	9	1	16.0	10.0	394.0	503.0
10	10	10	1	16.0	10.0	517.0	692.0
11	11	11	1	12.0	10.0	206.0	325.0
12	12	12	1	19.0	10.0	15.0	725.0
13	13	13	1	23.0	10.0	694.0	823.0
14	14	14	1	20.0	10.0	32.0	694.0
15	15	15	1	8.0	10.0	176.0	299.0
16	16	16	1	19.0	10.0	102.0	543.0
17	17	17	1	2.0	10.0	673.0	930.0
18	18	18	1	12.0	10.0	229.0	582.0
19	19	19	1	17.0	10.0	95.0	552.0
20	20	20	1	9.0	10.0	418.0	829.0
21	21	21	1	11.0	10.0	18.0	727.0
22	22	22	1	18.0	10.0	349.0	554.0
23	23	23	1	29.0	10.0	206.0	325.0
24	24	24	1	3.0	10.0	435.0	960.0
25	25	25	1	6.0	10.0	826.0	956.0
26	101	1	1	10.0	10.0	190.0	974.0
27	102	2	1	7.0	10.0	18.0	792.0
31	106	6	1	3.0	10.0	355.0	574.0
40	115	15	1	8.0	10.0	176.0	299.0
48	123	23	1	29.0	10.0	206.0	325.0
50	125	25	1	6.0	10.0	826.0	956.0
51	9999	0	1	0.0	0.0	0.0	1000.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	31	6	1	0	0	-
1	2	25	50	1	0	0	-
2	3	15	40	1	0	0	-
3	4	2	27	1	0	0	-
4	5	1	26	1	0	0	-
5	6	23	48	1	0	0	-
