INSTANCE NAME	Solomon_RC105-025
PLANNING HORIZON	240.0
VEHICLE CAPACITY	200.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	25.0	85.0
2	2	22.0	75.0
3	3	22.0	85.0
4	4	20.0	80.0
5	5	20.0	85.0
6	6	18.0	75.0
7	7	15.0	75.0
8	8	15.0	80.0
9	9	10.0	35.0
10	10	10.0	40.0
11	11	8.0	40.0
12	12	8.0	45.0
13	13	5.0	35.0
14	14	5.0	45.0
15	15	2.0	40.0
16	16	0.0	40.0
17	17	0.0	45.0
18	18	44.0	5.0
19	19	42.0	10.0
20	20	42.0	15.0
21	21	40.0	5.0
22	22	40.0	15.0
23	23	38.0	5.0
24	24	38.0	15.0
25	25	35.0	5.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	20.0	10.0	71.0	191.0
2	2	2	1	30.0	10.0	30.0	150.0
3	3	3	1	10.0	10.0	64.0	184.0
4	4	4	1	40.0	10.0	151.0	161.0
5	5	5	1	20.0	10.0	40.0	160.0
6	6	6	1	20.0	10.0	96.0	123.0
7	7	7	1	20.0	10.0	35.0	155.0
8	8	8	1	10.0	10.0	101.0	111.0
9	9	9	1	20.0	10.0	101.0	111.0
10	10	10	1	30.0	10.0	123.0	144.0
11	11	11	1	40.0	10.0	69.0	79.0
12	12	12	1	20.0	10.0	32.0	152.0
13	13	13	1	10.0	10.0	152.0	162.0
14	14	14	1	10.0	10.0	35.0	117.0
15	15	15	1	20.0	10.0	68.0	78.0
16	16	16	1	20.0	10.0	59.0	114.0
17	17	17	1	20.0	10.0	147.0	180.0
18	18	18	1	20.0	10.0	79.0	124.0
19	19	19	1	40.0	10.0	58.0	115.0
20	20	20	1	10.0	10.0	111.0	162.0
21	21	21	1	10.0	10.0	45.0	165.0
22	22	22	1	40.0	10.0	94.0	119.0
23	23	23	1	30.0	10.0	75.0	85.0
24	24	24	1	10.0	10.0	128.0	194.0
25	25	25	1	20.0	10.0	171.0	181.0
28	103	3	1	10.0	10.0	64.0	184.0
29	104	4	1	40.0	10.0	151.0	161.0
33	108	8	1	10.0	10.0	101.0	111.0
39	114	14	1	10.0	10.0	35.0	117.0
40	115	15	1	20.0	10.0	68.0	78.0
45	120	20	1	10.0	10.0	111.0	162.0
51	9999	0	1	0.0	0.0	0.0	240.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	8	33	1	0	0	-
1	2	14	39	1	0	0	-
2	3	4	29	1	0	0	-
3	4	15	40	1	0	0	-
4	5	45	20	1	0	0	-
5	6	3	28	1	0	0	-
