TEST BATCH;INSTANCE;NUMBER CUSTOMERS;GAMMAT;DEVIATIONT;RUNTIME;RESULT;RESULT DESCRIPTION;INCUMBENT;BEST BOUND;MIP ABSOLUTE GAP;MIP RELATIVE GAP
A;C101;25;0;0;26.52;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;303.2;303.2;5.68434E-14;0
A;C101;25;1;0.1;79.36;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;303.2;303.2;0;0
A;C101;25;1;0.25;90.39;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;303.2;303.2;5.68434E-14;0
A;C101;25;1;0.5;91.13;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;303.2;303.2;0;0
A;C101;25;5;0.1;830.19;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;303.2;303.2;5.68434E-14;0
A;C101;25;5;0.25;746.03;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;303.2;303.2;5.68434E-14;0
A;C101;25;5;0.5;3600.35;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;311;303.2;7.8;0.0251
A;C101;25;10;0.1;1671.98;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;303.2;303.2;1.13687E-13;0
A;C101;25;10;0.25;1249.8;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;303.2;303.2;0;0
A;C101;25;10;0.5;3600.29;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;311;303.2;7.8;0.0251
A;C102;25;0;0;3600.04;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;;;;
A;C102;25;1;0.1;3600.04;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;;;;
A;C102;25;1;0.25;3600.04;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;;;;
A;C102;25;1;0.5;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;;;;
A;C102;25;5;0.1;3600.04;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;;;;
A;C102;25;5;0.25;3600.18;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;;;;
